iter	Passed	Remaining
622	12192	7378
623	12209	7356
624	12231	7338
625	12247	7317
626	12266	7297
627	12288	7279
628	12305	7257
629	12329	7240
630	12355	7225
631	12380	7208
632	12403	7191
633	12430	7175
634	12451	7157
635	12470	7137
636	12492	7119
637	12513	7100
638	12533	7080
639	12552	7060
640	12573	7041
641	12592	7022
642	12614	7003
643	12637	6986
644	12654	6964
645	12679	6948
646	12697	6927
647	12715	6906
648	12731	6885
649	12749	6864
650	12770	6846
651	12787	6825
652	12803	6803
653	12817	6781
654	12836	6761
655	12847	6736
656	12865	6716
657	12881	6695
658	12905	6677
659	12927	6659
660	12949	6641
661	12965	6620
662	12987	6601
663	13007	6582
664	13029	6563
665	13050	6544
666	13065	6523
667	13085	6503
668	13104	6483
669	13121	6462
670	13141	6443
671	13156	6421
672	13175	6401
673	13194	6381
674	13214	6362
675	13232	6341
676	13252	6322
677	13267	6301
678	13280	6278
679	13301	6259
680	13322	6240
681	13338	6219
682	13356	6199
683	13375	6179
684	13392	6158
685	13416	6140
686	13437	6122
687	13459	6103
688	13477	6083
689	13493	6062
690	13513	6042
691	13529	6021
692	13548	6002
693	13569	5983
694	13591	5964
695	13610	5945
696	13630	5925
697	13645	5903
698	13662	5883
699	13681	5863
700	13701	5843
701	13720	5824
702	13735	5802
703	13750	5781
704	13765	5760
705	13783	5739
706	13795	5717
707	13815	5697
708	13835	5678
709	13857	5659
710	13874	5639
711	13892	5619
712	13909	5598
713	13933	5581
714	13952	5561
715	13969	5541
716	13992	5522
717	14013	5503
718	14033	5484
719	14053	5465
720	14074	5446
721	14096	5427
722	14115	5407
723	14132	5387
724	14151	5367
725	14172	5348
726	14191	5329
727	14206	5307
728	14234	5291
729	14240	5267
730	14247	5242
731	14253	5218
732	14261	5194
733	733	14259	5734	734	14287	5151
735	14304	5130
736	14326	5112
737	14345	5092
738	14364	5073
739	14379	5052
740	14397	5032
741	14414	5012
742	14430	4991
743	14448	4971
744	14465	4951
745	14479	4930
746	14500	4911
747	14516	4890
748	14536	4871
749	14550	4850
750	14567	4829
751	14583	4809
752	14604	4790
753	14622	4770
754	14641	4751
755	14663	4732
756	14681	4712
757	14700	4693
758	14718	4673
759	14741	4655
760	14760	4635
761	14782	4616
762	14798	4596
763	14818	4577
764	14835	4557
765	14860	4539
766	14880	4520
767	14894	4499
768	14933	4485
769	14962	4469
770	14995	4453
771	15019	4435
772	15033	4414
773	15048	4394
774	15067	4374
775	15081	4353
776	15095	4332
777	15115	4313
778	15138	4294
779	15156	4274
780	15180	4256
781	15204	4238
782	15225	4219
783	15246	4200
784	15278	4184
785	15296	4164
786	15319	4146
787	15339	4126
788	15360	4107
789	15377	4087
790	15398	4068
791	15418	4049
792	15431	4028
793	15453	4009
794	15473	3990
795	15494	3970
796	15510	3950
797	15526	3930
798	15541	3909
799	15563	3890
800	15578	3870
801	15596	3850
802	15615	3831
803	15635	3811
804	15652	3791
805	15672	3772
806	15688	3751
807	15708	3732
808	15728	3713
809	15748	3694
810	15764	3673
811	15785	3654
812	15807	3635
813	15827	3616
814	15845	3596
815	15864	3577
816	15880	3557
817	15897	3537
818	15915	3517
819	15936	3498
820	15957	3479
821	15978	3460
822	15995	3440
823	16012	3420
824	16030	3400
825	16048	3380
826	16066	3361
827	16083	3340
828	16105	3322
829	16122	3302
830	16138	3282
831	16154	3262
832	16170	3241
833	16189	3222
834	16206	3202
835	16220	3182
836	16239	3162
837	16256	3142
838	16276	3123
839	16295	3103
840	16314	3084
