iter	Passed	Remaining
896	3718	427
897	3722	422
898	3726	418
899	3731	414
900	3735	410
901	3739	406
902	3742	402
903	3747	397
904	3751	393
905	3755	389
906	3759	385
907	3763	381
908	3767	377
909	3771	372
910	3775	368
911	3779	364
912	3783	360
913	3787	356
914	3791	352
915	3795	348
916	3798	343
917	3802	339
918	3806	335
919	3811	331
920	3815	327
921	3819	323
922	3823	318
923	3826	314
924	3830	310
925	3835	306
926	3838	302
927	3843	298
928	3847	294
929	3851	289
930	3855	285
931	3859	281
932	3863	277
933	3867	273
934	3871	269
935	3875	264
936	3879	260
937	3883	256
938	3887	252
939	3891	248
940	3895	244
941	3899	240
942	3903	235
943	3906	231
944	3911	227
945	3915	223
946	3918	219
947	3922	215
948	3926	211
949	3930	206
950	3934	202
951	3938	198
952	3942	194
953	3946	190
954	3950	186
955	3954	181
956	3958	177
957	3962	173
958	3966	169
959	3970	165
960	3974	161
961	3978	157
962	3982	153
963	3986	148
964	3990	144
965	3994	140
966	3998	136
967	4002	132
968	4006	128
969	4010	124
970	4014	119
971	4018	115
972	4021	111
973	4025	107
974	4029	103
975	4033	99
976	4037	95
977	4041	90
978	4045	86
979	4049	82
980	4053	78
981	4057	74
982	4061	70
983	4065	66
984	4069	61
985	4073	57
986	4077	53
987	4081	49
988	4085	45
989	4089	41
990	4093	37
991	4097	33
992	4101	28
993	4105	24
994	4109	20
995	4113	16
996	4117	12
997	4121	8
998	4125	4
999	4129	0
